"Clade","Bank","Introduced_SR","Native_SR","Total_SR"
"Typhlopidae","little cayman",0,0,0
"Typhlopidae","little inagua",0,0,0
"Typhlopidae","marie galante",0,0,0
"Typhlopidae","martinique",1,0,1
"Typhlopidae","mayaguana",0,0,0
"Typhlopidae","mira por vos",0,0,0
"Typhlopidae","mona",0,1,1
"Typhlopidae","monito",0,0,0
"Typhlopidae","monjes",0,0,0
"Typhlopidae","montserrat",1,1,2
"Typhlopidae","morant",0,0,0
"Typhlopidae","navassa",0,1,1
"Typhlopidae","orchila",0,0,0
"Typhlopidae","pedro",0,0,0
"Typhlopidae","plana cays",0,0,0
"Typhlopidae","puerto rico",0,7,7
"Typhlopidae","redonda",0,0,0
"Typhlopidae","roatan",0,0,0
"Typhlopidae","roques",0,0,0
"Typhlopidae","rum cay",0,0,0
"Typhlopidae","saba",0,0,0
"Typhlopidae","samana",0,0,0
"Typhlopidae","san andres",0,0,0
"Typhlopidae","san salvador",0,0,0
"Typhlopidae","sombrero",0,0,0
"Typhlopidae","st christopher",3,1,4
"Typhlopidae","st croix",1,1,2
"Typhlopidae","st lucia",0,0,0
"Typhlopidae","st vincent",0,0,0
"Typhlopidae","swan",0,0,0
"Typhlopidae","testigos",0,0,0
"Typhlopidae","tobago",0,1,1
"Typhlopidae","tortuga",0,0,0
"Typhlopidae","trinidad",0,2,2
"Typhlopidae","turks",1,1,2
"Typhlopidae","turneffe",0,0,0
"Typhlopidae","utila",1,0,1
"Testudines","anguilla",2,0,2
"Testudines","antigua",1,0,1
"Testudines","aruba",1,0,1
"Testudines","aves",0,0,0
"Testudines","barbados",1,0,1
"Testudines","bermuda",1,1,2
"Testudines","blanquilla",0,0,0
"Testudines","bonaire",0,0,0
"Testudines","caicos",0,0,0
"Testudines","cay sal",0,0,0
"Testudines","cayman brac",1,0,1
"Testudines","chinchorro",0,0,0
"Testudines","conception",0,0,0
"Testudines","corn",0,1,1
"Testudines","cozumel",0,4,4
"Testudines","crooked acklins",0,0,0
"Testudines","cuba",0,2,2
"Testudines","curacao",0,1,1
"Testudines","desecheo",0,0,0
"Testudines","dominica",1,0,1
"Testudines","glover",0,0,0
"Testudines","grand cayman",2,0,2
"Testudines","great bahama",1,1,2
"Testudines","great inagua",1,0,1
"Testudines","grenada",1,0,1
"Testudines","guadeloupe",3,0,3
"Testudines","guanaja",0,3,3
"Testudines","hispaniola",1,3,4
"Testudines","iles des saintes",4,0,4
"Testudines","ilsa de providencia",1,0,1
"Testudines","jamaica",2,1,3
"Testudines","klein curacao",0,0,0
"Testudines","las aves",0,0,0
"Testudines","lighthouse atoll",0,0,0
"Testudines","little bahama",1,0,1
"Testudines","little cayman",0,0,0
"Testudines","little inagua",0,0,0
"Testudines","marie galante",2,0,2
"Testudines","martinique",2,0,2
"Testudines","mayaguana",0,0,0
"Testudines","mira por vos",0,0,0
"Testudines","mona",0,0,0
"Testudines","monito",0,0,0
"Testudines","monjes",0,0,0
"Testudines","montserrat",1,0,1
"Testudines","morant",0,0,0
"Testudines","navassa",0,0,0
"Testudines","orchila",0,0,0
"Testudines","pedro",0,0,0
"Testudines","plana cays",0,0,0
"Testudines","puerto rico",4,1,5
"Testudines","redonda",0,0,0
"Testudines","roatan",0,1,1
"Testudines","roques",0,0,0
"Testudines","rum cay",0,0,0
"Testudines","saba",0,0,0
"Testudines","samana",0,0,0
"Testudines","san andres",0,1,1
"Testudines","san salvador",0,1,1
"Testudines","sombrero",0,0,0
"Testudines","st christopher",1,0,1
"Testudines","st croix",2,0,2
"Testudines","st lucia",1,0,1
"Testudines","st vincent",1,0,1
"Testudines","swan",0,0,0
"Testudines","testigos",1,0,1
"Testudines","tobago",0,0,0
"Testudines","tortuga",0,0,0
"Testudines","trinidad",2,5,7
"Testudines","turks",0,0,0
"Testudines","turneffe",0,1,1
"Testudines","utila",1,1,2
"Iguanidae","anguilla",1,1,2
"Iguanidae","antigua",0,1,1
"Iguanidae","aruba",0,1,1
"Iguanidae","aves",0,0,0
"Iguanidae","barbados",0,0,0
"Iguanidae","bermuda",0,0,0
"Iguanidae","blanquilla",0,1,1
"Iguanidae","bonaire",0,1,1
"Iguanidae","caicos",0,1,1
"Iguanidae","cay sal",0,0,0
"Iguanidae","cayman brac",1,1,2
"Iguanidae","chinchorro",0,2,2
"Iguanidae","conception",0,0,0
"Iguanidae","corn",0,2,2
"Iguanidae","cozumel",0,2,2
"Iguanidae","crooked acklins",0,1,1
"Iguanidae","cuba",1,1,2
"Iguanidae","curacao",0,1,1
"Iguanidae","desecheo",0,0,0
"Iguanidae","dominica",0,1,1
"Iguanidae","glover",1,1,2
"Iguanidae","grand cayman",2,1,3
"Iguanidae","great bahama",2,4,6
"Iguanidae","great inagua",0,0,0
"Iguanidae","grenada",0,1,1
"Iguanidae","guadeloupe",0,2,2
"Iguanidae","guanaja",0,2,2
"Iguanidae","hispaniola",0,2,2
"Iguanidae","iles des saintes",0,2,2
